Afrikaans,IPA,Dutch,English,German
Hallo! Hoe gaan dit?,[hal@u hu xa.n d@t],Hallo! Hoe gaat het (met je/jou/u)? Also used: Hallo! Hoe is het?,Hello! How is it going? (Hello! How are you?),Hallo! Wie geht's? (Hallo! Wie geht's dir/Ihnen?)
"Baie goed, dankie.",[baj@ xu.t daNGki],"Heel goed, dank je.","Very well, thank you.","Sehr gut, danke."
Praat jy Afrikaans?,[pra.t j@i afrika.s],Spreek/Praat je/jij Afrikaans?,Do you speak Afrikaans?,Sprichst du Afrikaans?
Praat jy Engels?,[pra.t j@i eNG@ls],Spreek/Praat je/jij Engels?,Do you speak English?,Sprichst du Englisch?
Ja.,[ja.],Ja.,Yes.,Ja.
Nee.,[ne.@],Nee.,No.,Nein.
'n Bietjie.,[@ biki],Een beetje.,A bit.,Ein bisschen.
Wat is jou naam?,[vat @s j@u na.m],Hoe heet je? / Wat is jouw naam?,What is your name?,Wie heisst du? / Wie ist dein Name?
Die kinders praat Afrikaans.,[di k@n@rs pra.t afrika.ns],De kinderen spreken/praten Afrikaans.,The children speak Afrikaans.,Die Kinder sprechen Afrikaans.
Ek is lief vir jou. Less common: Ek het jou lief.,[aek @s lif vWr j@U],Ik hou van je/jou. Common in Southern Dutch: Ik heb je/jou/u lief.,I love you.,Ich liebe dich. Also: Ich habe dich lieb. (Colloquial; virtually no romantic connotation)
